plaats,timestamp,time,temp,gtemp,samenv,lv,windr,windrgr,windms,windbft,windknp,windkmh,luchtd,ldmmhg,dauwp,zicht,gr,verw,sup,sunder,image,alarm,lkop,ltekst,wrschklr,wrsch_g,wrsch_gts,wrsch_gc,stad,timestamp_api
Rotterdam,1742292483,18-03-2025 11:08:03,6.5,2.8,Onbewolkt,42,O,95.7,5.91,4,11.5,21.3,1029.33,772,-5.5,41100,542,Zonnig en droog,06:46,18:53,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Rotterdam,18-03-25 11:12
Amsterdam,1742291883,18-03-2025 10:58:03,6.8,3.2,Onbewolkt,36,ZO,122.8,5.89,4,11.5,21.2,1030.09,773,-6.9,45200,505,Zonnig en droog,06:45,18:52,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Amsterdam,18-03-25 11:12
Utrecht,1742291883,18-03-2025 10:58:03,7.1,3.2,Onbewolkt,32,ZO,125.1,6.24,4,12.1,22.5,1030.14,773,-8.5,46500,578,Zonnig en droog,06:43,18:50,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Utrecht,18-03-25 11:12
Den Haag,1742292483,18-03-2025 11:08:03,7,3.4,Onbewolkt,42,OZO,114,6.08,4,11.8,21.9,1029.56,772,-5.1,38000,548,Zonnig en droog,06:46,18:53,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Den Haag,18-03-25 11:12
Maastricht,1742292483,18-03-2025 11:08:03,6.5,2.5,Onbewolkt,38,O,84.9,6.86,4,13.3,24.7,1028.18,771,-7.1,44900,581,Zonnig en droog,06:41,18:48,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Maastricht,18-03-25 11:12
Vlissingen,1742291883,18-03-2025 10:58:03,6.1,2.4,Onbewolkt,48,O,78.3,5.63,4,10.9,20.3,1027.41,771,-4.2,35300,549,Zonnig en droog,06:50,18:56,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Vlissingen,18-03-25 11:12
Leeuwarden,1742292483,18-03-2025 11:08:03,7.3,4.8,Onbewolkt,38,ZO,122,3.67,3,7.1,13.2,1031.62,774,-5.9,39900,533,Zonnig en droog,06:41,18:48,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Leeuwarden,18-03-25 11:12
Groningen,1742292483,18-03-2025 11:08:03,7.4,5.7,Onbewolkt,34,OZO,108.3,2.57,2,5,9.3,1031.81,774,-7.6,36100,551,Zonnig en droog,06:38,18:45,zonnig,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Groningen,18-03-25 11:12
