plaats,timestamp,time,temp,gtemp,samenv,lv,windr,windrgr,windms,windbft,windknp,windkmh,luchtd,ldmmhg,dauwp,zicht,gr,verw,sup,sunder,image,alarm,lkop,ltekst,wrschklr,wrsch_g,wrsch_gts,wrsch_gc,stad,timestamp_api
Rotterdam,1746431883,05-05-2025 09:58:03,11,7.7,Licht bewolkt,60,ONO,60.4,4.74,3,9.2,17.1,1018.64,764,3.6,24900,570,"Wisselend bewolkt, kans op een lichte bui",06:02,21:15,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Rotterdam,05-05-25 10:07
Amsterdam,1746431883,05-05-2025 09:58:03,10,8.6,Licht bewolkt,72,ONO,64.8,5.01,3,9.7,18,1018.8,764,6.3,34600,35,"Wisselend bewolkt, kans op een lichte bui",05:59,21:15,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Amsterdam,05-05-25 10:07
Utrecht,1746431883,05-05-2025 09:58:03,9.9,7.9,Zwaar bewolkt,67,NO,39.4,3.91,3,7.6,14.1,1018.73,764,4.1,30000,284,"Wisselend bewolkt, kans op een lichte bui",05:58,21:12,bewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Utrecht,05-05-25 10:07
Den Haag,1746431883,05-05-2025 09:58:03,10.2,7.7,Zwaar bewolkt,71,ONO,61.9,4.22,3,8.2,15.2,1018.75,764,5.2,20500,359,"Wisselend bewolkt, kans op een lichte bui",06:01,21:16,bewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Den Haag,05-05-25 10:07
Maastricht,1746431883,05-05-2025 09:58:03,9.2,6.7,Zwaar bewolkt,71,NO,32.6,4.78,3,9.3,17.2,1017.03,763,4.2,32500,411,"Wisselend bewolkt, kans op een lichte bui",06:00,21:06,bewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Maastricht,05-05-25 10:07
Vlissingen,1746431883,05-05-2025 09:58:03,11.1,7.8,Licht bewolkt,55,O,79.1,4.95,3,9.6,17.8,1018.19,764,1.6,28000,538,"Wisselend bewolkt, kans op een lichte bui",06:07,21:16,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Vlissingen,05-05-25 10:07
Leeuwarden,1746431883,05-05-2025 09:58:03,11,7.3,Licht bewolkt,46,ONO,50,8.47,5,16.5,30.5,1020.12,765,0.6,42500,539,"Wisselend bewolkt, kans op een lichte bui",05:52,21:14,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Leeuwarden,05-05-25 10:07
Groningen,1746431883,05-05-2025 09:58:03,11,8.1,Licht bewolkt,50,ONO,44.8,6.74,4,13.1,24.3,1019.5,765,0.9,43200,550,"Wisselend bewolkt, kans op een lichte bui",05:49,21:11,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-,Groningen,05-05-25 10:07
